PRODUCT,W/M,ONLINE/IN-PERSON,SKU,FIT ELEMENTS,DEXTERITY ELEMENTS,SENSORY ELEMENTS,VIABLE FOR...
BOXY-FIT SHORT-SLEEVED SHIRT,WT,Online (16/6/22),1083138001,"contemporary boxy fit, wide jersey sleeves, Camp collar, Back pleats",snap-stud buttons,100% Cotton,"Wheelchair users, Amputees"
RELAXED-FIT WIDE-LEG SHORTS,MB,Online (16/6/22),1089273002,"relaxed fit , wide leg , slanted side pockets, tonal snap button, zip fly",zipfly,"Sewn back pockets, 54% Lyocell, 46% Cotton","Wheelchair users, Amputees"
"RELAXED-FIT CARGO TROUSERS
",MB,Online (16/6/22),1040308001,"tapered cargo trousers, Outer side seam length of size EU 48 is 99cm ",a snap-stud fastening,"52% REPREVE® recycled polyester, 48% RWS Wool / Dry clean utility-inspired side patch pockets, front pleats and back welt pockets with ",Amputees
CROPPED KNITTED JACKET,WT,Online (16/6/22),0950328008,"slim fit, ruched back and full-length, slouchy sleeves, Tubular detailing on overarm",Hidden brushed metal zip closure,"56% Viscose, 42% Polyamide, 2% Elastane","Wheelchair users, Amputees"
SHORT-SLEEVED LEATHER TOP,WT,Online (16/6/22),0910187002,"Oversized fit, Round neck,short sleeves, Wide cuffs, Cropped hem",hidden snap button placket at the front.,100% leather,"Wheelchair users, Amputees"
CONTRAST VOLUME-SLEEVE TOP,WT,In-store (16/6/22),10315000021152317,"Loose fit, wide round neck, 3/4 length sleeves, raglan volume sleeves, elastic trins","""Front (snap) buttoned placket""","Jersey front panel, Woven back panel, 91% Cotton, 9% Elastane","Wheelchair users, Amputees"
RUFFLED CAP-SLEEVE BLOUSE,WT,In-store (16/6/22),10802000021052313,"A-line blouse, wide neck and arm opening","No buttons, wide neck opening","Ruffled cap sleeves, softly pleated body, 99% Organic cotton, 1% Elastane","Wheelchair users, Amputees"
KNITTED SILK POLO SHIRT,WT,In-store (16/6/22),10694540021652316,"Regular fit, cuffed raglan sleeves",Zipper,"55% Mulberry silk, 45% Cotton","Wheelchair users, Amputees"
OVERSIZED CURVED-HEM BLOUSE,WT,In-store (16/6/22),10368490017652313,"Oversized, longline blouse,  A-line silhouette, Curved hem, stretchy, Grandad collar with front slit, Slightly dropped shoulders, Long sleeves, Inverted box pleat at back","No buttons, wide neck opening","68% Cotton, 27% Polyamide (Nylon), 5% Elastane","Wheelchair users, Amputees"
Black Longsleeve with Thumb Holes,WT,In-store (16/6/22),026092405010212317/109273254XI1028327002C19,,Thumb holes,,Amputees
RELAXED-FIT SILK PANEL T-SHIRT,WT,In-store (16/6/22),10559390011152317,"Relaxed fit , draped short sleeve, stepped hem, round neck",Elastic around arm holes,"Cotton jersey front with a silk back; Front: 100% Cotton, Back: 100% Mulberry silk","Wheelchair users, Amputees"
NYLON FIVE-PANEL CAP,A,In-store (16/6/22),10505050042254813,Five-panel cap,Adjustable webbing strap,"100% Recycled polyamide (Recycled nylon), Lining & Sweatband: 100% Cotton ",
REGULAR-FIT TAPERED TROUSERS,MB,Online (19/6/22),1071718002,"elasticated waistband, regular fit, all-day comfort, minimal seams, side slip pockets",,"65% TENCEL™ lyocell, 35% Organic cotton, back welt pockets",
WIDE-LEG CROPPED ELASTICATED TROUSERS,MB,Online (19/6/22),1093951001,"cropped, wide legs and an elasticated waist, drawstring wasitband ",,"side seam pockets, 22% Linen, 78% Lyocell",
OVERSIZED T-SHIRT,WT,Online (19/6/22),1064883010,"dropped shoulders, round neck, short sleeves",,"minimal stitching, 100% Organic Cotton",
V-NECK T-SHIRT DRESS,W,Online (19/6/22),1095868002,"voluminous fit, this khaki V-neck T-shirt dress,  deep inverted front pleat for movement",,100% Organic Cotton,Amputees
"RELAXED-FIT CARGO TROUSERS
",MB,Online (19/6/22),1021996001,"Sensory issues due to pockets, sitting postures",,,
HIGH-WAISTED WIDE-LEG TROUSERS,WB,Online (19/6/22),0992842012,"breathable linen, these khaki-green high-waisted trousers have pleats through the front to elongate the wide legs","Hook and bar closure, zip fly","76% TENCEL™ Lyocell, 24% Linen ",
RELAXED-FIT CROPPED T-SHIRT,WT,Online (19/6/22),1076909001,"slightly boxy, relaxed fit. The ribbed neck will hold its shape and the cropped hem will sit neatly over high-rise trousers.",,"Shell: 80% Organic cotton, 20% Recycled cotton, Neck lining: 100% Recycled cotton",
DRAWSTRING BARREL-LEG TROUSERS,WB,Online (19/6/22),1056030001,drawstring trousers feature a barrel leg for a relaxed silhouette,"Organic corozo button closure, zip fly","66% Organic cotton, 17% Linen, 17% TENCEL™ lyocell, side seam pockets",
REGULAR-FIT LINEN POLO SHIRT,MT,Online (19/6/22),1073747004,regular fit,,"100% linen, camp collar and tonal topstitching",
REGULAR-FIT ELASTICATED SHORTS,MB,Online (19/6/22),1028117002,regular fit with subtle A-line legs. elasticated waistband,,"Sewn side and back pockets, 71% Cotton, 25% Recycled polyamide",
SLIM-FIT DRAWSTRING CUFFED TROUSERS,MB,Online (19/6/22),0996774006,"slim fit with a tapered leg, cuffed hem",,"Side seam pockets, Patch pockets, 72% Organic cotton, 25% Recycled polyamide, 3% Elastane",
LOOSE-FIT CROPPED TROUSERS,MB,Online (19/6/22),1054592006,"loose, tapered, elasticated waistband, front pleats and a mock fly.",,"Front slip pockets, Back patch pocket, 100% cotton",
TAPERED WIDE-LEG JOGGERS,MB,Online (19/6/22),1053722002,elasticated joggers are cut for an oversized fit with a wide tapered leg. The adjustable toggle and elasticated cuffs,adjustable toggle,"Stitched panels, Angled side seam pockets, 100% Recycled polyester",
ELASTICATED WIDE-LEG TWILL TROUSERS,MB,Online (19/6/22),1052618002,elasticated trousers designed with a wide tapered leg for a sculptural silhouette. minimal front pleats and slightly cropped length ,fake fly,"side seam pockets, back patch pockets, 67% Organic cotton,  17% TENCEL™ lyocell, 16% Linen ",
REGULAR-FIT TAPERED TROUSERS,MB,Online (19/6/22),1071718002,"elasticated waistband, regular fit, minimal seams",concealed closure,"side slip pockets, back welt pockets, 65% TENCEL™ lyocell, 35% Organic cotton",
NEOPRENE MULES,S,Online (20/6/22),1054721001,Neoprene ankle support,,"85% Recycled polyester, 15% Elastane, Sole: 90% EVA, 10% Bloom",
HIGH WAISTED SLIM-FIT LEGGINGS,WB,Online (20/6/22),1026083002,high waisted leggings are cut for a slim fit and finish at the ankle ,Side zip ankle closure,"Sewn back pocket, 95% Cotton, 5% Elastane, inside leg length of size EU 36 is 66cm",
,,,,,,,
https://kw.cosstores.com/en/buy-longline-voile-tunic-orange.html,,,,"hidden buttons, flowy skirt",,,
https://kw.cosstores.com/en/shop-women/coats-jackets/,,,,,,,
https://kw.cosstores.com/en/buy-v-neck-wide-leg-jumpsuit-brown.html,,,,,,,
https://kw.cosstores.com/en/buy-oversized-kaftan-dress-black-0.html,,,no for wc,,,,
https://kw.cosstores.com/en/buy-ruffled-jumpsuit-black.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.tapered-leg-high-rise-jeans-blue.0969093011.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.straight-leg-high-rise-jeans-blue.1047340001.html,,,,,,,
https://www.cos.com/en/women/womenswear/jumpsuits/product.barrel-leg-dungarees-black.1045181001.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.relaxed-fit-barrel-leg-jeans-black.1079851002.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.relaxed-fit-denim-overshirt-black.1009006005.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.regular-fit-pointed-collar-shirt-blue.1040299004.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.regular-fit-grandad-collar-shirt-yellow.1057595004.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.relaxed-fit-utility-overshirt-green.1085380004.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.relaxed-fit-barrel-leg-jeans-blue.1079851001.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.relaxed-fit-straight-leg-jeans-black.0966300006.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.regular-fit-striped-poplin-shirt-blue.1063931001.html,,,,,,,
https://www.cos.com/en/men/menswear/trousers/product.denim-boilersuit-black.1071673001.html,,,,,,,
https://www.cos.com/en/men/menswear/suits/trousers/product.barrel-leg-tapered-chinos-green.1040305002.html,,,,,,,
https://www.cos.com/en/men/menswear/coats-and-jackets/product.zip-up-denim-jacket-blue.1052565001.html,,,,,,,
https://www.cos.com/en/men/menswear/coats-and-jackets/product.cropped-denim-jacket-black.1056872002.html,,,,,,,
https://www.cos.com/en/men/menswear/coats-and-jackets/product.cropped-denim-jacket-blue.1056872001.html,,,,,,,
https://www.cos.com/en/men/menswear/jeans/product.slim-fit-high-rise-flared-jeans-black.1071458002.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.relaxed-fit-corduroy-overshirt-orange.1005841003.html,,,,,,,
https://www.cos.com/en/men/menswear/shirts/product.checked-overshirt-blue.1011286002.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/product.zip-up-ribbed-knit-cardigan-black.1061262001.html,,,,,,,
https://www.cos.com/en/women/womenswear/skirts/product.semi-sheer-midi-pencil-skirt-black.1058126001.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/jumpers/product.spread-collar-wool-jumper-yellow.1041210003.html,,,,,,,
https://www.cos.com/en/women/womenswear/trousers/product.relaxed-fit-twill-trousers-turquoise.1073659001.html,,,,,,,
https://www.cos.com/en/women/womenswear/shorts/product.skinny-denim-shorts-black.0992934002.html,,,,,,,
https://www.cos.com/en/women/womenswear/trousers/product.slim-fit-wool-trousers-black.1016080002.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.slim-fit-high-rise-jeans-blue.1004681002.html,,,,,,,
https://www.cos.com/en/women/womenswear/shirts/product.slim-fitted-shirt-white.0970464001.html,,,,,,,
https://www.cos.com/en/women/womenswear/dresses/product.high-neck-tube-dress-black.1026953001.html,,,,,,,
https://www.cos.com/en/women/womenswear/skirts/product.semi-sheer-midi-pencil-skirt-blue.1058126002.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/jumpers/product.cashmere-funnel-neck-jumper-black.1064774001.html,,,,,,,
https://www.cos.com/en/women/womenswear/tops/product.slim-fit-merino-wool-turtleneck-top-black.0989040001.html,,,,,,,
https://www.cos.com/en/women/womenswear/skirts/product.jersey-mini-skirt-black.1083179001.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.straight-leg-full-length-jeans-black.1055656003.html,,,,,,,
https://www.cos.com/en/women/womenswear/dresses/product.midi-tube-dress-black.0973163004.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.straight-leg-full-length-jeans-blue.1055656002.html,,,,,,,
https://www.cos.com/en/women/womenswear/knitwear/jumpers/product.cashmere-ribbed-knit-jumper-blue.1041213003.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.slim-fit-high-rise-jeans-black.1004681001.html,,,,,,,
https://www.cos.com/en/women/womenswear/jeans/product.skinny-mid-rise-jeans-black.0919600004.html,,,,,,,